"","Session","CT","NK","Sequence","NS","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.node_id","player.threshold","player.participate","player.user_name","player.avatar_id","player.round_payoff","player.subsession_id","player.group_id","player.payoff","group.id_in_subsession","group.network_id","group.subsession_id","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"1","S1","None","Local",5,"Star",1,"dw8k5pwv",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:13.938215+00:00",1,NA,NA,58,1,28131,3,0,"Lizard",38,50,1876,7517,0,2,5627,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"2","S1","None","Local",6,"Circle",2,"p1w7z0g2",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:00.579037+00:00",1,NA,NA,108,1,28136,3,1,"Chicken",23,0,1876,7518,0,3,5628,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"3","S1","None","Local",4,"Clique",3,"c7ugcwsf",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:41.091308+00:00",1,NA,NA,108,1,28126,3,1,"Lion",22,100,1876,7516,0,1,5626,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"4","S1","None","Local",4,"Clique",4,"7ae3beiy",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:38.828981+00:00",1,NA,NA,58,2,28127,3,1,"Cow",25,100,1876,7516,0,1,5626,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"5","S1","None","Local",5,"Star",5,"hyvqayls",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:26.567448+00:00",1,NA,NA,9,2,28132,3,0,"Duck",24,50,1876,7517,0,2,5627,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"6","S1","None","Local",4,"Clique",6,"cimne4tz",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:14.859023+00:00",1,NA,NA,103,3,28128,3,1,"Bear",29,100,1876,7516,0,1,5626,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"7","S1","None","Local",6,"Circle",7,"qbeidbqm",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:57.985104+00:00",1,NA,NA,108,2,28137,3,0,"Rhino",43,50,1876,7518,0,3,5628,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"8","S1","None","Local",5,"Star",8,"29lmmbnh",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:30.829696+00:00",1,NA,NA,107,3,28133,3,1,"Snake",17,0,1876,7517,0,2,5627,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"9","S1","None","Local",6,"Circle",9,"spslywao",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:16.586734+00:00",1,NA,NA,114,3,28138,3,0,"Wolf",18,50,1876,7518,0,3,5628,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"10","S1","None","Local",4,"Clique",10,"0vkh83e8",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:06.610682+00:00",1,NA,NA,58,4,28129,3,0,"Octopus",46,50,1876,7516,0,1,5626,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"11","S1","None","Local",4,"Clique",11,"e74egiuo",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:48.129488+00:00",1,NA,NA,56,5,28130,3,1,"Bat",30,100,1876,7516,0,1,5626,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"12","S1","None","Local",6,"Circle",12,"mku45qcl",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:40.091847+00:00",1,NA,NA,117,4,28139,3,0,"Snail",50,50,1876,7518,0,3,5628,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"13","S1","None","Local",5,"Star",13,"3dn71y53",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:31.828150+00:00",1,NA,NA,4,4,28134,3,1,"Koala",10,0,1876,7517,0,2,5627,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"14","S1","None","Local",6,"Circle",14,"94eaoxt4",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:17.439358+00:00",1,NA,NA,102,5,28140,3,1,"Rabbit",7,0,1876,7518,0,3,5628,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"15","S1","None","Local",5,"Star",15,"fvpl2r35",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:01.880851+00:00",1,NA,NA,54,5,28135,3,0,"Bull",6,50,1876,7517,0,2,5627,1876,1,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"16","S1","None","Local",5,"Star",1,"dw8k5pwv",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:13.938215+00:00",1,NA,NA,58,1,28146,1,0,"Tiger",16,50,1877,7520,0,2,5630,1877,2,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"17","S1","None","Local",6,"Circle",2,"p1w7z0g2",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:00.579037+00:00",1,NA,NA,108,1,28151,1,1,"Bear",29,100,1877,7521,0,3,5631,1877,2,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"18","S1","None","Local",4,"Clique",3,"c7ugcwsf",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:41.091308+00:00",1,NA,NA,108,1,28141,1,1,"Bat",30,100,1877,7519,0,1,5629,1877,2,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
