session__code,participant__code,participant_id,page,element,timestamp
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Discuss/13/-1,recipient-dropdown,1529967486886.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Discuss/13/-1,recipient-option-33,1529967487654.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Discuss/13/-1,message-list-dropdown,1529967488528.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Discuss/13/-1,message-option-0,1529967489134.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Discuss/13/-1,send-message-button,1529967489616.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Discuss/13/-1,btn-discuss-next,1529967492337.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Discuss/13/-1,btn-discuss-continue,1529967494336.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Decide/15/-1,id_participate_2,1529967520826.0
jn13hsme,2but2iwa,3,/p/2but2iwa/practice/Decide/15/-1,btn-decide-next,1529967521568.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/37/-1,recipient-dropdown,1529967537040.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/37/-1,recipient-option-459,1529967537733.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/37/-1,message-list-dropdown,1529967538630.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/37/-1,message-option-0,1529967539048.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/37/-1,send-message-button,1529967539870.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/37/-1,btn-discuss-next,1529967543037.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/37/-1,btn-discuss-continue,1529967545091.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/39/-1,id_participate_2,1529967549251.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/39/-1,btn-decide-next,1529967550433.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/44/-2,recipient-dropdown,1529967592019.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/44/-2,recipient-option-473,1529967593149.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/44/-2,message-list-dropdown,1529967594561.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/44/-2,message-option-0,1529967595074.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/44/-2,send-message-button,1529967595579.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/44/-2,btn-discuss-next,1529967598096.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/44/-2,btn-discuss-continue,1529967599641.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/46/-2,id_participate_2,1529967606983.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/46/-2,btn-decide-next,1529967609426.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/51/-3,recipient-dropdown,1529967671880.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/51/-3,recipient-option-489,1529967672830.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/51/-3,message-list-dropdown,1529967673939.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/51/-3,message-option-0,1529967674382.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/51/-3,send-message-button,1529967674929.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/51/-3,btn-discuss-next,1529967677583.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/51/-3,btn-discuss-continue,1529967679024.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/53/-3,id_participate_1,1529967837655.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/53/-3,btn-decide-next,1529967839998.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/58/-4,recipient-dropdown,1529967845030.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/58/-4,recipient-option-505,1529967845602.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/58/-4,message-list-dropdown,1529967846092.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/58/-4,message-option-0,1529967846386.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/58/-4,send-message-button,1529967846686.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/58/-4,btn-discuss-next,1529967848599.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/58/-4,btn-discuss-continue,1529967849995.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/60/-4,id_participate_2,1529967854728.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Decide/60/-4,btn-decide-next,1529967855607.0
jn13hsme,2but2iwa,3,/p/2but2iwa/main/Discuss/65/-5,recipient-dropdown,1529967862626.0
